branchName,recruitPos,jobStatus
ลาดพร้าว,ผู้จัดการแผนกบัญชี,Open
แจ้งวัฒนะ,ผู้จัดการแผนกบัญชีและไอที,Open
ศรีนครินทร์,ผู้จัดการแผนกสินค้าบริโภค 1,Closed
แจ้งวัฒนะ,หัวหน้าแผนกสินค้าอุปโภค 2,Closed
แจ้งวัฒนะ,ผู้จัดการแผนกเนื้อสัตว์,Closed
อุดรธานี,,Closed
นครสวรรค์,พนักงานแผนกเนื้อสัตว์,Closed
อุดรธานี,พนักงานขาย-B2B,Closed
เกาะพงัน,ผู้จัดการแผนกอาหารแช่แข็ง,Closed
ราชบุรี,พนักงานแผนกปลา,Closed
ยโสธร,พนักงานบัญชี,Closed
พิษณุโลก 2,พนักงานแผนกเบเกอรี่,Closed
แหลมฉบัง,พนักงานแผนกเติมสินค้า,Closed
แฮปปี้แทท (ฟอเรสเทียส์ - บางนา),พนักงานขาย-B2B,Closed
ป่าตอง,พนักงานขาย-FR,Closed
ทุ่งสง,ผู้จัดการแผนกผักและผลไม้,Closed
สยามโฟรเซ่น ตลาดเมืองใหม่,พนักงานขาย-FR,Closed
เลียบคลองสอง,พนักงานแผนกเบเกอรี่,Closed
บางคอแหลม,พนักงานขาย-B2B,Closed
บางพลี,พนักงานแผนกเนื้อสัตว์,Closed
ทุ่งสง,พนักงานแผนกเติมสินค้า,Closed
เพชรเกษม,หัวหน้าแผนกบัญชี,Closed
อ่อนนุช,ผู้จัดการแผนกบุคคล,Closed
บดินทรเดชา,ผู้จัดการแผนกอุปโภค,Closed
สยามโฟรเซ่น ตลาดเมืองใหม่,ผู้จัดการแผนกผักและผลไม้,Closed
เกาะช้าง,พนักงานขาย-B2B,Closed

